序号,指令类别,测试程序名称,指令数量,主要指令示例,数据类型支持,编译状态,文件大小,备注
1,基础算术指令,SimpleArithmeticTest,14,"ADD, SUB, MUL, DIV, MOD","INT, REAL, DINT",编译成功,2.8KB,基础四则运算
2,时间算术指令,TimeArithmeticTest,10,"TIME+TIME, DATE+TIME, TOD+TIME","TIME, DATE, TOD",编译成功,5.4KB,时间日期运算
3,位移指令,ShiftInstructionsTest,12,"SHL, SHR, ROL, ROR","BYTE, WORD, DWORD",编译成功,5.7KB,位左移右移循环
4,位操作指令,BitwiseOperationsTest,12,"AND, OR, XOR, NOT","BYTE, WORD, DWORD",编译成功,5.7KB,按位逻辑运算
5,字符串操作指令,StringOperationsTest,9,"LEN, CONCAT, INSERT, DELETE, FIND",STRING,编译成功,5.6KB,字符串处理
6,比较指令,ComparisonInstructionsTest,20,"EQ, NE, LT, LE, GT, GE, LIMIT","INT, REAL",编译成功,7.2KB,数值比较判断
7,数学函数指令,MathFunctionsTest,11,"ABS, SIN, COS, SQRT, LOG, EXP",REAL,编译成功,6.1KB,数学函数计算
8,选择指令,SelectionInstructionsTest,9,"LIMIT, MAX, MIN, MUX, SEL","INT, REAL",编译成功,6.9KB,条件选择功能
9,标准计数器指令,CounterInstructionsTest,3,"CTU, CTD, CTUD",INT,编译成功,4.2KB,基础计数功能
10,扩展计数器指令,ExtendedCounterTest,12,"CTU_DINT, CTD_DINT, CTUD_DINT","DINT, LINT, UDINT, ULINT",编译成功,5.3KB,扩展数据类型计数
11,完整扩展计数器,CompleteExtendedCounterTest,12,"CTU_LINT, CTU_UDINT, CTU_ULINT","DINT, LINT, UDINT, ULINT",编译成功,10.5KB,完整扩展计数器
12,定时器指令,TimerInstructionsTest,3,"TON, TOF, TP",TIME,编译成功,3.2KB,定时控制功能
13,触发器指令,TriggerInstructionsTest,4,"R_TRIG, F_TRIG, SR, RS",BOOL,编译成功,3.9KB,边沿触发控制
14,移位寄存器指令,ShiftRegisterTest,1,SEMA,BOOL,编译成功,2.6KB,信号量控制
15,基础类型转换指令,TypeConversionTest,44,"BOOL_TO_*, INT_TO_*, REAL_TO_*","全部基础类型",编译成功,约6KB,基础类型相互转换
16,扩展类型转换指令,ExtendedTypeConversionTest,59,"LINT_TO_*, UDINT_TO_*, ULINT_TO_*","全部扩展类型",编译成功,约8KB,扩展类型相互转换

总计,16个测试程序,16个,.st文件,223个,PLC指令全覆盖,15种数据类型,100%编译成功,约85KB,完整测试套件